Id,Weight
City,15
VästeråsO,13
Erikslund,9
Vallby,9
Centrum,7
Bäckby,5
Gideonsberg,5
Hammarby,5
Råby,5
Malmaberg,4
Haga,3
Hälla,3
Rocklunda,3
Skälby,3
Stenby,3
Bjurhovda,2
Brottberga,2
Hamre,2
Hemdal,2
Hökåsen,2
Jakobsberg,2
Kristiansborg/Karlsdal,2
Nordanby,2
Oxbacken,2
Skallberget/Vega,2
Vasagatan,2
Viksäng,2
Blåsbo,1
Brandthovda,1
Enhagen/Ekbacken,1
Framnäs,1
Freja,1
Frösåker,1
Gryta,1
Gränsta,1
Klockartorpet,1
Kviksund,1
Loviseberg,1
Norrlden,1
Pettersberg,1
Rönnby,1
Sjöhagen,1
Skiljebo,1
Skultuna,1
Stohagen/Spantgatan,1
Tillberga,1
Vetterstorp,1
Örtagården,1
Östermalm,1